Time,Text
12/16/2025 21:02,Order 2566222738 for symbol BITSTAMP:BTCUSD has been executed at price 87276 for 26 units
12/16/2025 21:02,Order 2566222738 successfully placed
12/16/2025 21:02,Call to place market order to buy 26 units of symbol BITSTAMP:BTCUSD 
12/16/2025 20:55,Order 2566167359 for symbol BITSTAMP:BTCUSD has been executed at price 86990 for 13 units
12/16/2025 20:55,Order 2566167359 successfully placed
12/16/2025 20:55,Call to place market order to sell 13 units of symbol BITSTAMP:BTCUSD 
12/16/2025 20:52,Order 2566144915 for symbol OANDA:XAUUSD has been executed at price 4318.920 for 280 units
12/16/2025 20:52,Order 2566144915 successfully placed
12/16/2025 20:52,Order 2566132708 successfully cancelled
12/16/2025 20:52,Call to place market order to buy 280 units of symbol OANDA:XAUUSD 
12/16/2025 20:50,Order 2566132708 successfully placed
12/16/2025 20:50,Modify position for symbol OANDA:XAUUSD with TP 4306.998
12/16/2025 20:50,Order 2566131447 for symbol OANDA:XAUUSD has been executed at price 4312.640 for 280 units
12/16/2025 20:50,Order 2566131447 successfully placed
12/16/2025 20:50,Call to place market order to sell 280 units of symbol OANDA:XAUUSD 
12/16/2025 20:47,Order 2566102538 for symbol OANDA:XAUUSD has been executed at price 4323.740 for 280 units
12/16/2025 20:47,Order 2566102538 successfully placed
12/16/2025 20:47,Call to place market order to sell 280 units of symbol OANDA:XAUUSD 
12/16/2025 20:46,Order 2566098990 for symbol OANDA:XAUUSD has been executed at price 4324.850 for 560 units
12/16/2025 20:46,Order 2566098990 successfully placed
12/16/2025 20:46,Call to place market order to buy 560 units of symbol OANDA:XAUUSD 
12/16/2025 20:45,Order 2566085617 for symbol OANDA:XAUUSD has been executed at price 4321.770 for 560 units
12/16/2025 20:45,Order 2566078566 successfully cancelled
12/16/2025 20:45,Order 2566085617 successfully placed
12/16/2025 20:45,Call to place market order to sell 560 units of symbol OANDA:XAUUSD 
12/16/2025 20:44,Order 2566078566 successfully placed
12/16/2025 20:44,Modify position for symbol OANDA:XAUUSD with TP 4336.511
12/16/2025 20:43,Order 2566027587 successfully cancelled
12/16/2025 20:43,Modify position for symbol OANDA:XAUUSD
12/16/2025 20:38,Order 2566027587 successfully placed
12/16/2025 20:38,Modify position for symbol OANDA:XAUUSD with TP 4336.532
12/16/2025 20:36,Order 2566013329 for symbol OANDA:XAUUSD has been executed at price 4332.940 for 280 units
12/16/2025 20:36,Order 2566013329 successfully placed
12/16/2025 20:36,Call to place market order to buy 280 units of symbol OANDA:XAUUSD 
12/16/2025 20:20,Order 2565846474 for symbol OANDA:XAUUSD has been executed at price 4330.760 for 280 units
12/16/2025 20:20,Order 2565846473 successfully cancelled
12/16/2025 20:18,Order 2565846474 modification confirmed
12/16/2025 20:18,Order 2565846473 modification confirmed
12/16/2025 20:18,Modify position for symbol OANDA:XAUUSD with SL 4324.963 and TP 4330.401
12/16/2025 20:18,Order 2565846474 successfully placed
12/16/2025 20:18,Order 2565846473 successfully placed
12/16/2025 20:18,Modify position for symbol OANDA:XAUUSD with SL 4324.963 and TP 4329.997
12/16/2025 20:17,Order 2565828187 for symbol OANDA:XAUUSD has been executed at price 4326.750 for 280 units
12/16/2025 20:17,Order 2565828187 successfully placed
12/16/2025 20:17,Call to place market order to buy 280 units of symbol OANDA:XAUUSD 
12/16/2025 17:41,Order 2565143791 for symbol DELTAIN:BTCUSD.P has been executed at price 87200.0 for 13 units
12/16/2025 17:41,Order 2565143791 successfully placed
12/16/2025 17:41,Order 2565125871 successfully cancelled
12/16/2025 17:41,Call to place market order to sell 13 units of symbol DELTAIN:BTCUSD.P 
12/16/2025 17:33,Order 2565125871 successfully placed
12/16/2025 17:33,Modify position for symbol DELTAIN:BTCUSD.P with TP 87309.4
12/16/2025 17:31,Order 2565122253 for symbol FX:XAUUSD has been executed at price 4277.47 for 25 units
12/16/2025 17:31,Order 2565122253 successfully placed
12/16/2025 17:31,Call to place market order to sell 25 units of symbol FX:XAUUSD 
12/16/2025 17:29,Order 2565117385 for symbol FX:XAUUSD has been executed at price 4278.81 for 25 units
12/16/2025 17:29,Order 2565117385 successfully placed
